"idnum","p4b23","k5e2a","f1h2","f1e3","m1e4b","f1g7","m1a13","m1g2","m1g3","m1g4","f1f2","m1f5","f1c2f","m1a7","m1b18","m2g6c","f2k6","m2k14","m2d3a","m2g4c","m2g13","f2h8a2","f2h10","m2h8e","m2h8b","m2h19b","m2h19i","m2j16","f2h19","m4d3","m4i7b","p4b15","p4l3","p4l5","p4l11","p4l19","p4l22","p4l28","p4l32","p4l43","m4h1g","m4i0g","m4h4","m4i0p","f4i8a1","f4j24a","p4a22","f4a2","f4i0n1","p4b9","p4b21_1","p4c8","p4h1"
"2280",7,"4","1","3","1","1","1","5","5","4","2","4","1","1","1","1","2","2","1","6","1","2","2","2","2","2","1","2","2","2","2","1","2","0","1","0","1","2","0","1","3","2","2","2","2","2","0","3","2","0","1","3","1"
"2281",7,"1","1","1","1","1","1","5","5","4","1","1","1","1","1","1","2","2","1","203","5","2","2","2","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","1","1","1","1","1","2","2","0","1","2","1","1","4","0"
"2282",10,"3","1","1","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","2","1","2","2","2","2","2","2","2","2","1","1","1","2","0","2","0","0","0","0","1","1","1","1","1","2","2","0","3","2","0","0","4","0"
"2283",8,"4","1","1","1","2","1","5","5","4","2","1","1","2","1","1","1","2","1","2","1","2","2","2","2","2","2","1","2","1","1","0","2","0","1","1","0","0","1","1","1","2","1","1","2","2","0","4","2","0","0","4","0"
"2284",10,"1","2","2","1","2","1","5","5","4","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","2","2","2","2","2","2","1","2","0","1","0","0","0","1","1","1","2","1","2","2","2","0","1","3","1","0","2","0"
"2285",9,"3","1","3","2","2","1","5","5","3","2","3","1","2","1","2","2","2","1","5","1","2","2","2","2","2","1","1","1","2","1","1","2","2","1","0","0","0","1","1","1","1","1","2","1","2","1","1","3","0","0","4","2"
"2286",11,"0","2","2","1","1","1","5","5","4","1","2","2","1","1","2","2","2","1","1","5","2","2","1","2","2","2","2","1","2","2","1","1","0","2","0","0","0","0","2","2","2","2","2","2","2","0","1","1","0","0","4","0"
"2287",8,"4","1","1","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","4","1","2","2","1","2","2","2","2","2","2","2","0","2","0","2","0","0","0","0","0","2","2","1","1","2","2","0","2","1","0","0","4","2"
"2288",11,"0","2","1","1","1","1","5","5","4","2","2","1","1","1","2","1","2","2","3","5","2","2","1","2","2","2","2","2","2","2","1","1","0","0","0","1","0","0","1","2","2","2","2","2","2","0","1","2","0","1","4","0"
"2289",10,"3","1","1","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","2","1","2","2","1","2","2","1","2","2","1","1","1","2","1","2","1","1","0","0","0","1","1","1","1","2","2","0","1","4","0","1","4","0"
"2290",7,"0","1","1","1","1","1","5","5","4","2","4","1","1","1","1","2","1","1","1","3","2","2","1","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","1","1","1","1","1","2","2","0","2","2","1","0","4","0"
"2291",7,"2","1","1","1","1","1","5","5","3","1","2","1","1","1","1","2","2","1","5","2","2","2","1","2","2","2","2","1","1","2","1","2","0","1","0","0","0","0","0","1","2","1","2","2","2","1","1","2","1","0","4","0"
"2292",10,"1","1","1","1","1","1","5","5","4","1","2","1","1","1","1","2","2","2","2","4","2","2","1","2","2","2","2","2","1","1","1","2","0","0","1","0","0","0","1","1","1","1","2","2","2","1","1","1","1","0","4","0"
"2293",7,"3","1","4","1","1","1","5","5","4","2","3","1","1","1","1","2","2","1","4","1","2","2","1","2","2","1","2","1","1","1","0","1","0","1","0","0","0","0","0","1","2","1","2","2","2","0","3","1","1","1","4","0"
"2294",8,"0","1","1","1","1","1","5","5","4","1","1","1","1","1","1","2","1","1","4","1","2","2","1","2","2","2","2","1","1","2","1","2","0","2","0","0","0","1","0","1","2","1","2","2","2","1","1","1","1","0","4","0"
"2295",8,"0","1","1","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","1","1","2","2","1","2","2","2","2","2","1","2","1","2","0","1","0","0","0","0","0","1","2","1","2","2","2","0","1","2","1","0","4","0"
"2296",9,"0","1","2","1","1","1","5","5","4","2","1","3","1","1","1","2","2","1","2","2","2","2","1","2","2","2","1","2","1","1","0","1","0","2","0","0","0","1","1","1","2","1","2","2","2","1","1","2","1","0","3","0"
"2297",8,"2","1","2","1","1","1","5","5","3","2","2","1","2","1","2","2","2","1","1","1","2","2","1","2","2","2","2","1","1","2","0","2","1","1","1","0","0","1","2","2","2","1","2","2","2","1","4","3","0","0","3","0"
"2298",9,"2","1","2","1","2","1","5","5","4","1","3","1","2","1","1","2","2","1","3","1","2","2","1","2","2","2","2","1","1","2","1","2","0","1","0","0","0","1","1","1","1","1","2","2","2","1","1","2","0","0","4","0"
"2299",8,"3","2","1","2","2","1","5","5","4","2","3","1","1","1","2","2","1","1","4","5","2","2","1","2","2","2","2","2","1","2","0","1","0","1","0","1","0","0","1","4","2","2","2","2","2","1","1","2","1","0","4","0"
"2300",9,"0","1","3","1","1","1","5","5","4","2","2","1","1","1","1","2","1","1","3","1","2","2","1","1","2","2","2","1","1","2","1","2","0","2","0","0","0","0","0","1","2","1","2","2","2","0","1","2","1","0","3","0"
"2301",9,"0","1","2","1","2","1","5","5","4","2","2","1","1","1","2","1","2","2","202","2","2","2","1","2","2","2","1","1","2","2","1","1","0","2","0","0","0","0","0","1","2","2","1","2","2","0","1","1","1","0","3","0"
"2302",9,"2","1","3","1","1","1","5","5","3","2","2","1","1","1","1","2","2","2","3","3","2","2","1","2","2","2","2","2","1","2","1","2","0","1","0","0","0","1","0","1","2","1","2","2","2","1","1","2","0","1","4","0"
"2303",10,"0","2","1","1","2","1","5","5","4","2","2","1","1","1","1","2","2","2","3","1","2","2","1","2","2","2","2","1","2","1","1","2","0","2","0","0","0","1","0","2","2","1","2","2","2","1","1","2","0","1","4","0"
"2304",9,"4","1","4","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","2","1","2","2","1","2","2","2","1","2","2","2","1","2","1","1","2","2","1","2","2","1","1","1","1","2","2","0","1","1","1","1","4","0"
"2305",10,"3","1","3","1","1","1","5","5","3","1","2","1","1","1","1","2","2","1","3","1","2","2","2","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","0","1","2","1","2","2","2","0","4","2","0","0","4","0"
"2306",9,"1","1","1","1","1","1","5","5","4","2","1","2","1","1","1","2","2","1","6","1","2","2","1","2","2","1","2","2","1","2","1","2","0","2","0","0","0","1","2","1","2","1","2","2","2","0","1","2","1","0","3","1"
"2307",11,"3","1","1","1","1","1","4","5","4","1","1","1","1","1","1","2","2","1","4","2","2","2","2","2","2","2","2","1","1","2","1","2","0","2","0","0","0","0","0","1","2","1","1","2","2","0","1","1","1","1","4","0"
"2308",11,"1","1","3","1","2","1","5","5","3","1","3","1","1","1","2","2","2","1","3","1","2","2","1","2","2","1","1","1","2","2","1","2","0","2","0","0","0","0","1","4","2","1","1","2","2","1","4","2","0","0","4","1"
"2309",7,"2","2","1","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","6","1","2","2","2","2","2","2","2","2","1","2","1","2","0","0","1","2","0","1","2","1","1","1","2","2","2","0","1","1","1","0","4","0"
"2310",9,"3","1","1","1","1","1","5","5","3","2","1","1","1","1","1","2","2","1","1","1","2","2","2","2","2","2","2","1","1","2","0","2","0","2","0","1","0","0","1","1","1","1","2","2","2","0","1","3","1","0","3","3"
"2311",11,"4","2","2","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","4","5","2","2","1","2","2","2","2","2","1","2","1","2","0","2","1","0","0","1","1","1","2","1","2","2","2","1","1","2","1","0","4","0"
"2312",11,"1","1","3","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","2","1","2","2","2","2","2","2","2","2","1","2","1","2","0","0","0","0","0","0","0","2","2","1","2","2","2","0","3","3","1","1","4","0"
"2313",9,"0","1","2","1","1","1","5","5","3","1","3","1","1","1","1","2","2","1","6","3","2","2","1","2","2","2","2","1","1","2","1","1","0","2","0","0","0","1","1","2","1","1","1","2","2","1","1","2","1","0","4","1"
"2314",7,"2","1","2","1","1","1","4","4","4","2","3","1","2","2","1","2","2","1","6","1","2","1","1","2","2","2","2","2","1","2","1","1","0","1","0","1","0","1","0","1","1","1","2","2","2","1","1","3","1","0","4","1"
"2315",7,"1","2","3","1","2","1","5","5","4","2","3","1","1","1","1","2","2","1","5","1","2","2","1","2","2","2","2","1","1","1","1","2","0","1","0","0","0","0","0","1","1","1","2","2","2","1","3","2","0","0","4","0"
"2316",7,"0","2","1","1","1","1","5","5","4","2","2","1","1","1","1","2","2","2","204","5","2","2","1","1","2","2","2","1","2","1","1","1","0","2","1","1","0","0","1","2","1","1","2","2","2","0","1","2","1","0","4","0"
"2317",9,"4","2","3","2","1","1","4","5","4","2","2","1","1","1","1","2","2","1","6","1","2","2","2","2","2","2","2","2","1","2","1","1","0","2","1","0","0","1","1","1","1","2","1","2","2","0","1","2","1","0","3","0"
"2318",8,"1","1","3","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","3","1","2","2","1","2","2","2","2","1","2","2","1","2","0","2","0","0","0","0","0","1","2","1","2","2","2","0","1","2","0","1","4","0"
"2319",10,"2","1","1","1","1","1","5","5","4","1","3","1","1","1","2","2","2","1","4","1","2","2","2","1","2","2","2","2","1","2","1","2","0","2","0","0","0","0","1","1","1","1","2","2","2","0","1","1","1","1","4","0"
"2320",9,"0","1","1","2","1","1","5","5","4","2","2","1","1","1","1","2","2","1","201","3","2","2","1","2","2","2","2","2","1","2","0","2","0","1","0","0","0","0","1","1","1","1","2","2","2","0","1","2","1","0","4","0"
"2321",9,"0","2","2","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","4","1","2","2","2","2","2","2","2","2","1","2","1","2","0","1","0","0","0","0","1","2","1","2","2","2","2","0","3","1","1","0","3","0"
"2322",11,"0","2","1","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","4","1","2","2","1","1","2","2","2","2","1","2","1","2","0","2","0","0","0","0","2","1","1","1","1","2","2","0","1","2","0","0","4","0"
"2323",8,"0","1","3","1","1","1","5","5","4","2","3","1","1","1","1","2","2","2","2","1","2","2","1","2","2","2","2","1","2","2","1","2","0","2","0","0","0","0","2","3","2","1","1","2","2","1","1","1","0","0","4","3"
"2324",12,"3","1","3","1","1","1","5","5","4","1","2","1","2","1","1","2","2","1","6","1","2","2","1","2","2","2","2","1","1","2","0","2","0","1","0","0","0","0","0","1","2","1","2","2","1","0","4","4","1","0","4","0"
"2325",9,"0","1","1","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","4","1","2","2","2","2","2","2","2","2","1","2","1","2","0","2","0","0","0","1","1","1","1","1","1","2","2","0","1","2","1","0","4","0"
"2326",11,"1","1","2","1","2","1","5","5","4","2","2","1","1","1","1","2","2","1","205","1","2","2","1","2","2","2","2","1","1","2","1","2","0","1","0","0","0","0","1","2","2","2","2","2","2","1","3","1","1","0","4","0"
"2327",9,"0","1","1","1","1","1","5","5","4","2","2","2","1","1","1","2","1","1","6","2","2","2","1","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","0","1","1","1","2","2","2","0","1","1","1","0","4","0"
"2328",10,"4","1","3","1","1","1","5","5","3","2","2","1","1","1","1","2","1","1","6","1","2","2","1","2","2","1","1","1","1","1","0","2","0","1","0","0","0","0","0","3","1","1","2","2","2","1","1","2","1","1","3","4"
"2329",9,"0","2","4","1","1","1","5","5","4","2","2","1","1","1","1","1","2","1","204","1","2","2","1","2","2","2","2","2","1","2","1","0","2","1","1","1","2","1","0","1","2","1","2","2","2","1","1","2","0","0","2","1"
"2330",9,"0","1","2","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","4","2","2","2","2","2","2","2","2","2","2","2","1","0","0","2","0","0","0","0","1","1","1","1","1","2","2","0","1","2","1","0","4","0"
"2331",8,"2","1","3","1","2","1","5","5","4","2","1","1","1","1","1","2","2","1","1","1","2","2","1","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","0","1","1","1","1","2","2","0","4","2","1","0","4","0"
"2332",7,"1","2","1","1","2","1","5","5","4","2","2","1","1","1","1","2","2","2","1","5","2","2","1","2","2","2","2","2","2","2","1","2","0","2","0","0","0","0","1","3","2","1","2","2","2","0","1","3","1","0","4","0"
"2333",11,"2","2","3","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","6","1","2","2","1","2","2","2","2","2","1","2","0","1","0","2","0","0","2","1","1","3","2","2","2","2","2","0","3","3","1","1","2","0"
"2334",7,"1","1","2","1","1","1","5","5","3","2","2","1","1","1","1","1","2","1","6","1","2","2","2","2","2","2","2","2","1","2","0","2","0","1","0","0","0","1","1","1","2","1","2","2","2","1","1","1","1","1","4","0"
"2335",7,"3","2","2","2","1","1","5","5","4","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","2","2","2","2","2","2","1","1","0","1","0","0","0","0","0","2","1","1","2","2","2","0","1","2","1","0","2","0"
"2336",8,"3","1","2","1","2","1","5","5","4","2","2","1","1","1","1","2","2","1","5","1","2","2","1","2","2","2","2","1","2","2","1","2","0","2","0","0","0","1","1","1","2","1","2","1","2","1","4","1","0","1","4","2"
"2337",10,"0","1","2","1","1","2","5","1","3","2","1","2","2","1","2","2","2","1","3","1","1","1","1","2","2","1","2","1","1","2","1","2","0","2","0","0","0","0","0","2","1","1","2","2","2","1","4","2","0","0","2","0"
"2338",9,"4","1","2","1","1","1","5","5","4","2","1","1","1","1","1","2","2","1","202","1","2","2","1","2","2","2","2","1","1","2","1","2","0","2","0","0","0","0","0","2","1","1","1","2","2","0","1","1","1","1","4","0"
"2339",9,"4","1","2","1","2","1","5","5","4","2","2","1","2","1","1","2","2","2","202","1","2","2","1","2","2","2","2","2","1","2","1","2","0","1","0","1","0","0","0","1","1","1","2","2","2","1","3","4","0","0","2","0"
"2340",7,"0","1","1","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","5","1","2","2","1","2","2","2","2","2","1","2","1","1","0","1","0","0","0","0","0","1","2","1","2","2","2","0","2","1","0","0","4","0"
"2341",7,"2","1","3","1","1","1","5","5","4","2","2","1","1","1","1","2","1","1","202","1","1","2","1","2","2","2","1","2","1","2","0","2","1","2","0","0","0","1","2","1","2","2","1","2","2","0","3","2","1","0","4","0"
"2342",10,"2","2","3","1","2","1","5","5","4","2","3","1","2","2","2","2","2","1","4","3","1","2","2","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","0","1","2","1","2","2","2","0","1","3","0","0","4","0"
"2343",9,"0","2","1","2","1","1","5","5","4","1","3","1","1","1","2","2","2","1","6","1","2","2","2","2","2","2","2","1","1","2","1","1","0","2","0","0","1","0","0","2","2","2","2","2","2","0","1","1","1","0","3","0"
"2344",7,"1","1","2","1","1","1","5","5","3","2","2","1","1","1","1","2","2","1","4","4","2","2","1","2","2","1","2","2","1","2","1","2","0","2","0","0","0","0","2","4","1","1","2","2","2","1","1","2","1","0","4","0"
"2345",10,"0","1","1","1","1","1","5","5","3","2","2","1","1","1","1","2","2","2","4","1","2","2","1","2","2","2","2","1","1","2","1","1","1","1","1","1","0","1","1","1","1","2","2","2","1","1","2","4","0","1","4","0"
"2346",8,"0","1","1","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","1","1","2","2","1","2","2","2","2","1","1","2","1","2","0","2","0","0","0","0","0","1","2","1","2","2","2","0","1","2","0","0","4","0"
"2347",7,"3","1","3","1","1","1","5","5","4","2","2","1","2","1","1","2","2","1","1","1","2","2","1","1","2","2","2","1","1","2","1","2","2","2","0","2","0","0","1","1","2","1","1","2","2","0","3","2","0","1","4","0"
"2348",10,"2","1","3","1","1","1","5","5","4","1","1","1","1","1","1","2","2","1","4","1","2","2","1","1","2","2","2","1","1","2","1","2","0","2","0","0","0","0","1","1","2","1","2","2","2","0","1","2","1","0","4","0"
"2349",7,"0","1","2","2","1","1","5","4","3","2","2","1","1","1","2","2","2","1","6","4","2","2","1","1","2","1","1","1","2","1","0","1","0","1","0","1","0","0","0","3","2","2","2","2","1","1","1","4","1","0","3","4"
"2350",8,"0","2","1","1","1","1","5","5","4","2","1","1","1","1","1","2","2","1","2","2","2","2","1","2","2","1","2","2","1","2","1","1","0","1","0","1","0","1","0","2","1","1","2","2","2","1","1","3","0","0","3","0"
"2351",11,"1","1","2","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","203","5","2","2","1","2","2","1","2","2","1","2","1","2","0","2","0","0","0","0","2","3","1","1","2","2","2","0","4","1","1","1","4","0"
"2352",9,"4","1","3","1","2","1","5","5","4","2","2","1","1","1","1","2","2","1","4","1","2","2","1","2","2","2","2","2","1","2","0","2","0","0","0","0","0","0","0","1","2","1","2","2","2","0","2","2","1","0","4","0"
"2353",9,"0","1","2","1","1","1","5","5","3","2","2","2","1","1","1","2","2","2","5","1","1","2","1","2","2","2","2","1","2","2","0","2","0","1","0","0","0","0","0","1","2","2","2","2","2","1","1","1","0","1","3","0"
"2354",11,"4","1","2","1","1","1","5","5","4","1","2","1","2","1","2","2","2","1","4","4","2","2","2","2","2","2","2","2","1","2","1","1","0","1","0","0","1","0","1","1","1","1","2","2","2","0","1","2","1","1","4","0"
"2355",10,"0","2","1","1","1","1","5","5","4","2","2","1","1","1","1","1","2","1","3","1","2","2","1","2","2","2","2","2","1","2","1","2","0","1","0","0","0","0","1","4","1","1","2","2","2","0","1","2","0","0","4","0"
"2356",10,"0","1","1","1","1","1","5","5","4","2","2","1","1","1","1","2","2","2","3","3","1","2","1","1","2","2","2","2","1","1","0","1","0","1","0","0","0","0","0","2","1","1","2","2","2","0","1","2","1","0","4","0"
"2357",9,"2","1","1","1","1","1","5","5","4","2","2","2","1","1","1","2","2","1","3","1","1","2","1","2","2","2","2","1","1","2","1","2","0","2","1","0","0","1","0","1","2","1","2","2","2","0","1","2","0","0","4","0"
"2358",11,"1","1","4","1","1","1","5","5","3","2","1","1","1","1","1","2","2","2","205","2","2","2","2","2","2","2","2","2","1","2","1","2","1","1","0","0","0","0","0","1","1","1","2","2","2","0","1","2","0","1","4","0"
"2359",7,"4","1","1","2","1","1","5","5","4","2","3","1","1","1","1","2","2","1","201","1","1","2","1","2","2","2","2","2","1","2","1","2","0","1","0","0","0","0","0","1","1","1","2","2","2","0","1","2","0","1","4","0"
"2360",8,"1","1","2","1","1","1","5","5","3","2","4","1","1","1","1","2","2","1","6","4","2","2","1","2","2","1","1","1","1","2","1","2","0","1","0","0","0","0","0","1","1","2","2","2","2","1","1","1","0","0","3","1"
"2361",10,"4","1","2","1","2","1","4","5","3","1","2","1","1","1","1","2","2","1","2","1","2","2","1","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","0","1","1","2","1","2","2","1","2","1","1","0","4","2"
"2362",10,"1","1","4","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","4","1","2","2","1","2","2","2","2","2","1","1","0","2","0","2","0","0","0","0","1","1","2","1","2","2","2","0","2","1","1","1","4","2"
"2363",8,"1","1","1","1","1","1","4","5","2","1","1","1","1","1","1","2","2","1","2","1","2","2","1","2","2","1","2","2","1","2","0","1","1","2","0","0","2","0","0","1","2","1","2","1","2","1","1","1","0","0","4","0"
"2364",10,"0","1","1","1","2","1","4","1","1","1","2","1","2","1","1","2","2","1","5","2","1","2","1","2","2","2","2","1","1","2","1","1","0","0","0","0","0","0","0","1","2","1","2","2","2","1","1","2","0","1","4","2"
"2365",8,"3","2","1","1","1","1","5","5","4","1","1","1","2","2","1","2","2","1","3","1","2","2","1","2","2","2","2","2","1","1","0","2","0","1","2","2","0","0","1","1","1","1","2","2","2","0","4","1","0","1","4","0"
"2366",11,"0","1","3","1","1","1","5","5","4","1","2","2","1","1","1","2","2","1","3","1","2","2","1","2","2","2","2","2","1","1","1","2","0","2","0","0","0","2","0","1","1","1","2","2","2","0","1","1","1","0","4","2"
"2367",11,"0","1","2","1","2","1","5","5","4","2","2","1","1","1","1","2","2","1","201","1","2","2","1","2","2","1","2","1","1","1","1","2","0","2","0","0","0","0","0","1","1","1","2","2","2","0","4","2","1","0","4","0"
"2368",8,"0","1","1","1","1","1","4","5","3","1","2","1","1","1","1","2","1","2","3","2","2","2","2","2","2","2","2","2","1","2","1","2","0","2","1","0","0","0","1","1","1","1","1","2","2","1","1","2","1","0","4","0"
"2369",13,"0","1","3","2","1","1","5","5","4","2","3","1","1","1","1","2","2","1","3","1","2","2","1","2","2","2","2","2","1","2","1","2","0","2","1","0","0","0","0","1","2","1","2","2","2","1","1","1","0","0","3","2"
"2370",6,"0","1","3","1","1","1","5","5","4","2","1","2","2","2","2","2","2","1","205","1","2","2","1","2","2","1","2","1","1","2","1","1","0","1","0","0","0","0","1","1","1","1","2","2","2","0","4","1","0","0","4","0"
"2371",11,"0","1","2","1","2","1","4","5","4","1","1","1","1","1","1","2","2","1","1","1","2","2","1","2","2","2","2","2","1","2","1","1","0","2","0","0","0","1","1","1","1","1","1","2","2","0","1","1","1","0","4","0"
"2372",10,"1","2","2","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","1","1","2","1","1","2","2","2","2","2","1","2","0","1","1","1","0","0","0","0","0","1","1","1","2","2","2","0","1","2","1","0","4","0"
"2373",8,"0","1","3","1","1","1","5","5","3","1","3","1","1","1","1","2","2","2","6","1","2","2","2","2","2","2","2","2","1","2","0","2","0","0","0","0","0","1","1","1","1","1","2","2","2","0","3","1","1","0","4","4"
"2374",9,"4","1","1","2","1","1","5","3","2","2","1","1","1","1","1","2","1","1","5","1","2","2","1","2","2","2","2","1","1","2","1","2","1","1","0","0","2","0","1","1","2","1","2","2","2","1","3","2","0","0","4","0"
"2375",11,"0","1","3","1","1","1","5","5","4","2","2","1","1","1","1","1","2","2","202","2","1","2","1","2","2","2","2","1","1","1","1","2","1","1","0","0","0","0","0","1","2","1","2","2","2","0","1","1","0","0","3","0"
"2376",9,"2","1","4","1","1","1","5","5","2","2","1","1","1","1","1","2","2","1","3","1","2","2","1","2","2","2","2","1","1","2","1","2","0","2","0","0","0","0","0","1","1","1","2","2","2","1","1","2","1","1","4","0"
"2377",10,"0","1","1","1","1","1","5","5","4","2","1","1","1","1","2","2","2","1","1","1","1","2","1","2","2","1","2","2","1","1","1","2","0","2","0","0","0","0","0","1","2","2","2","2","2","0","4","4","0","0","4","0"
"2378",10,"4","1","2","1","1","1","5","5","4","2","3","1","1","1","1","2","2","1","1","2","2","2","1","2","2","1","2","2","1","2","1","2","0","2","0","0","0","0","0","2","1","1","1","2","2","0","3","3","0","0","4","0"
"2379",8,"0","1","1","1","1","1","5","5","4","1","1","1","1","1","1","1","1","2","3","2","2","2","2","2","2","2","2","2","1","2","1","2","1","2","0","0","0","0","0","1","1","1","1","2","2","0","1","1","1","1","4","0"
"2380",10,"0","1","3","1","1","1","5","5","4","2","1","1","1","1","1","2","2","1","4","1","2","2","1","2","2","2","2","1","1","2","1","2","0","1","0","0","0","0","0","2","1","1","2","2","2","1","1","2","1","0","4","0"
"2381",9,"1","1","3","1","1","2","5","5","4","2","4","1","1","1","1","2","2","1","4","1","2","2","2","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","0","1","2","1","1","2","2","0","1","1","1","0","3","0"
"2382",11,"4","2","1","2","1","1","5","5","4","2","2","1","2","2","2","2","2","2","4","5","2","2","2","2","2","2","2","2","2","2","1","2","0","0","0","1","0","1","2","2","1","2","2","2","2","0","4","2","0","0","3","3"
"2383",11,"2","1","3","2","1","1","5","5","4","2","1","1","1","1","2","1","2","2","4","2","2","2","2","2","2","2","2","2","2","2","1","2","0","2","0","0","0","1","2","1","2","2","2","2","2","0","2","1","1","0","4","1"
"2384",8,"4","1","1","1","1","1","5","5","4","1","1","1","2","2","1","2","2","1","203","5","2","2","1","2","2","2","2","2","1","2","0","1","0","2","1","1","0","0","1","1","1","1","2","2","2","0","3","2","0","0","4","0"
"2385",9,"3","2","2","2","2","1","5","5","4","2","2","1","1","1","2","2","2","1","1","5","1","2","1","2","2","1","2","2","1","2","0","2","0","2","0","0","0","0","1","3","2","2","2","2","2","0","1","2","1","0","3","0"
"2386",9,"4","1","4","1","2","1","5","5","3","1","2","1","2","1","1","1","1","1","1","1","2","2","1","2","2","1","1","2","1","2","1","1","0","2","0","0","0","0","0","1","1","1","1","2","2","1","4","2","1","0","4","0"
"2387",7,"0","2","1","1","1","1","5","5","4","1","2","1","2","1","1","2","2","1","3","1","2","2","1","2","2","2","1","2","1","2","1","2","1","1","2","0","0","1","1","2","1","1","2","2","2","0","2","2","1","0","4","0"
"2388",13,"0","2","2","1","1","1","5","5","4","2","2","1","1","1","1","2","2","2","5","1","2","2","1","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","0","1","1","1","2","2","2","0","1","4","0","0","3","0"
"2389",9,"1","1","1","1","1","1","5","5","3","1","2","1","2","1","1","2","2","2","6","1","2","1","1","2","2","2","2","1","1","2","1","2","0","1","0","1","0","1","0","1","1","1","2","2","2","1","4","3","0","1","4","0"
"2390",11,"0","2","1","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","3","5","2","2","1","2","2","2","2","2","1","1","1","2","1","2","1","1","0","0","0","2","1","1","2","2","2","0","1","2","0","1","4","0"
"2391",11,"2","1","3","1","1","1","4","5","3","2","2","2","2","1","1","2","2","1","6","1","2","2","2","2","2","2","2","1","1","2","1","2","0","1","0","0","0","0","1","2","1","1","2","2","2","1","4","1","0","0","4","2"
"2392",11,"0","1","1","1","1","1","5","5","3","2","3","1","1","1","1","2","2","1","4","2","2","2","2","2","1","2","2","2","1","2","1","2","2","2","1","1","0","2","1","1","1","1","1","2","2","1","1","1","1","1","4","0"
"2393",10,"2","1","1","1","1","1","5","5","4","1","1","1","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","1","2","1","2","0","1","0","0","0","0","0","1","1","1","1","2","2","0","1","1","1","0","4","0"
"2394",9,"0","1","3","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","3","1","1","2","1","2","2","1","2","2","1","2","0","2","0","2","0","0","0","1","0","1","2","1","1","2","2","0","1","2","1","0","4","0"
"2395",11,"2","1","1","1","2","1","5","5","4","1","2","1","2","2","1","2","2","2","203","5","2","2","1","1","2","1","1","2","1","2","0","1","1","1","0","1","0","1","2","2","1","1","2","2","2","0","4","1","1","1","2","2"
"2396",9,"0","1","2","1","1","1","4","5","2","1","2","1","1","1","1","2","2","1","2","1","2","2","1","2","2","2","2","2","1","2","1","2","2","2","1","1","1","0","2","1","1","1","1","2","2","1","3","1","0","0","4","0"
"2397",9,"0","1","1","1","2","1","5","5","4","1","2","1","1","1","1","2","2","1","5","4","2","2","1","2","2","2","2","2","1","2","1","2","0","1","0","0","0","0","0","1","2","1","2","2","2","1","1","2","1","0","4","1"
"2398",10,"0","1","2","1","1","1","5","5","4","1","2","1","2","1","1","2","2","1","5","1","1","2","1","2","2","2","2","2","1","1","0","1","0","2","0","1","0","0","0","1","1","1","2","2","2","1","1","1","1","0","4","0"
"2399",9,"0","1","2","1","1","1","5","5","4","1","1","1","2","2","1","2","1","1","3","2","2","2","2","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","0","2","2","1","2","2","2","0","1","1","1","1","4","1"
"2400",8,"0","1","3","1","1","1","5","5","3","1","4","1","2","1","1","2","2","1","3","1","2","2","1","2","2","1","2","1","1","2","0","1","0","1","0","0","0","1","1","1","2","1","2","1","2","1","3","2","0","0","3","0"
"2401",10,"3","2","1","1","1","1","5","5","4","2","2","1","2","1","1","2","2","1","2","1","2","2","1","2","2","2","2","2","1","2","0","2","0","2","1","0","2","0","1","1","1","1","2","2","2","0","4","3","0","0","4","0"
